SECTOR,SIZE,COBERTURA,COUNTRY,PUESTO,EXPERIENCIA,SEXO,DER-LAB,SAL-SEG,RS,INCLU,RES-CS
3,3,1,2,1,1,1,-0.552,-0.957,-0.413,-0.445,-1.816
1,3,2,2,4,4,2,-1.796,-2.263,-1.363,-1.958,-0.906
3,2,2,2,4,4,1,-1.78,-1.476,-1.402,-0.901,-0.645
1,4,4,2,3,1,1,0.499,-0.261,0.783,-0.36,1.155
1,4,4,2,3,4,1,-1.157,-1.244,-0.898,-1.826,-0.965
1,4,2,2,4,3,1,0.454,0.591,-0.3,1.055,0.566
1,2,2,2,1,1,2,1.21,0.813,1.732,1.326,1.024
1,3,2,2,1,2,1,0.571,0.581,0.097,0.931,0.554
3,2,2,2,4,1,1,-0.591,-0.679,1.178,1.044,0.424
1,4,4,2,4,4,1,1.21,0.813,0.844,0.48,1.155
3,4,4,2,4,4,2,0.574,0.127,0.974,0.717,-0.928
1,4,4,2,4,3,1,0.875,0.813,1.605,1.185,1.155
3,1,1,2,5,2,2,0.875,0.813,0.322,1.185,-3.797
1,4,4,2,1,1,1,0.571,0.127,-0.364,0.988,0.685
1,4,2,2,3,3,2,-2.251,-3.765,-2.211,-2.847,-2.335
1,4,4,2,4,2,2,0.758,0.813,0.923,0.903,1.155
1,4,2,2,3,3,2,-0.658,-0.669,-0.619,-1.454,-0.514
1,3,3,2,4,3,2,0.238,0.813,0.292,0.399,-0.645
3,1,2,2,4,1,2,0.574,-0.206,0.082,0.706,0.996
1,4,1,2,4,4,2,-2.783,0.813,-0.579,-0.507,-0.904
2,2,2,2,4,4,2,-1.332,-3.401,-1.83,-2.847,0.537
3,3,2,2,4,2,1,-2.358,-0.966,-0.519,0.061,-0.016
1,4,3,2,3,1,1,0.238,-0.215,-0.304,-0.112,0.263
1,2,2,2,4,4,2,-2.834,0.349,-1.769,-2.14,-1.403
3,4,4,2,4,2,1,1.21,0.813,1.606,1.044,1.014
1,4,4,2,1,1,1,0.306,0.813,1.097,1.326,1.024
1,3,3,2,3,1,2,-2.285,-2.494,-1.252,-0.719,-1.57
1,4,3,2,5,4,1,-0.862,-0.447,0.202,-0.563,0.255
1,2,2,2,4,1,2,-0.708,-1.373,0.505,0.931,-1.97
1,4,2,2,4,2,2,0.119,0.813,0.415,0.452,1.155
3,2,2,2,4,4,2,0.306,-0.78,-2.211,-0.248,-0.645
